employeeid,name,age,department,hiredate,salary,level,subsidy,total
18550,Harold,24,Development,2014-02-16,5651,8,,
18798,Dixon,33,Ministry of Law ,2014-02-26,5641,8,,
19046,Falcon,40,Production,2014-03-08,5631,8,,
19294,Lamont,47,Purchasing,2014-03-18,5621,8,,
19542,Randolph,54,Marketing,2014-03-28,5611,8,,
19790,Hubert,55,Engineering,2014-04-07,5601,8,,
20038,Matthew,29,Finance,2014-04-17,5591,8,,
20286,Lyndon,27,Testing,2014-04-27,5581,8,,
20534,Luther,26,Customer Service,2014-05-07,5571,8,,
20782,Gwen,25,Customer Service,2014-05-17,5561,8,,
21030,Bianca,24,Human Resource,2014-05-27,5551,8,,
21278,Ingrid,33,Development,2014-06-06,5541,8,,
21526,Quintana,40,Ministry of Law ,2014-06-16,5531,8,,
21774,Margot,47,Production,2014-06-26,5521,8,,
22022,Briana,54,Purchasing,2014-07-06,5511,8,,
22270,Eudora,55,Marketing,2014-07-16,5501,8,,
22518,Glynnis,29,Engineering,2014-07-26,5491,7,,
22766,Jemima,20,Human Resource,2014-08-05,5481,7,,
23014,Whitney,30,Development,2014-08-15,5471,7,,
23262,Ernest,40,Ministry of Law ,2014-08-25,5461,7,,
23510,Peaceful,31,Production,2014-09-04,5451,7,,
23758,Trent,30,Purchasing,2020-01-19,5441,7,,
24006,Graham,29,Marketing,2019-12-13,5431,7,,
24254,Just,28,Production,2019-11-06,5421,7,,
24502,Harris,27,Purchasing,2019-09-30,5411,7,,
24750,Walter,26,Marketing,2019-08-24,5401,7,,
24998,Vernon,25,Engineering,2019-07-18,5391,7,,
25246,Helpful,24,Human Resource,2019-06-11,5381,7,,
25494,Long-Beard,33,Development,2019-05-05,5371,7,,
25742,Hunter,40,Ministry of Law ,2019-03-29,5361,7,,
25990,Douglas,47,Production,2019-02-20,5351,7,,
26238,Egbert,54,Engineering,2019-01-14,5341,7,,
26486,Grayson,55,Engineering,2018-12-08,5331,7,,
26734,Torrent,29,Engineering,2018-11-01,5321,7,,
26982,Logan,27,Development,2018-09-25,5311,7,,
27230,Hall,26,Development,2018-08-19,5301,7,,
27478,Edmond,25,Production,2018-07-13,5291,7,,
27726,Ross,24,Production,2018-06-06,5281,7,,
27974,Just,33,Production,2018-04-30,5271,7,,
28222,Virginia,40,Customer Service,2018-03-24,5261,7,,
28470,Alexandra,47,Engineering,2018-02-15,5251,7,,
28718,Lucille,54,Testing,2018-01-09,5241,7,,
28966,Lea,55,Production,2017-12-03,5231,7,,
29011,Anastasia,29,Engineering,2017-10-27,5221,7,,
29019,Hilda,20,Engineering,2017-09-20,5211,7,,
29027,Francesca,30,Engineering,2017-08-14,5201,7,,
29035,Jennifer,40,Development,2017-07-08,5191,7,,
29043,Rosalie,31,Development,2017-06-01,5181,7,,
29051,Tilda,30,Production,2017-04-25,5171,7,,
29059,Hanna,29,Production,2017-03-19,5161,7,,
29067,Eunice,28,Production,2017-02-10,5151,7,,
29075,Wolf,27,Customer Service,2017-01-04,5141,7,,
29083,Louisa,26,Engineering,2016-11-28,5131,7,,
29091,Beloved,25,Testing,2016-10-22,5121,7,,
29099,Mavis,24,Production,2016-09-15,5111,7,,
29107,Madeline,33,Engineering,2016-08-09,5101,7,,
29115,Graceful,40,Engineering,2016-07-03,5091,7,,
29123,Free,47,Engineering,2016-05-27,5081,7,,
29131,Blair,54,Development,2016-04-20,5071,7,,
29139,Pleasure,55,Development,2016-03-14,5061,7,,
29147,Olga,29,Production,2016-02-06,5051,7,,
29155,Sharon,23,Production,2015-12-31,5041,7,,
29163,Eugenia,35,Production,2015-11-24,5031,7,,
29171,Wynne,44,Customer Service,2015-10-18,5021,7,,
29179,Sunshine,32,Engineering,2015-09-11,5011,7,,
29187,Livia,48,Testing,2015-08-05,5001,7,,
29195,Willow,59,Production,2015-06-29,4991,7,,
29203,Handmaiden,57,Engineering,2015-05-23,4981,7,,
29211,Rosalind,52,Engineering,2015-04-16,4971,7,,
29219,Tanya,42,Engineering,2015-03-10,4961,7,,
29227,Thea,39,Development,2015-02-01,4951,7,,
29235,Wenda,49,Development,2014-12-26,4941,7,,
29243,Noble,21,Production,2014-11-19,4931,7,,
29251,Kerri,30,Production,2014-10-13,4921,7,,
29259,Gabrielle,50,Production,2014-09-06,4911,7,,
29267,Blanche,22,Customer Service,2014-07-31,4901,7,,
29275,Kirsten,46,Engineering,2014-06-24,4891,7,,
29283,Graceful,37,Testing,2014-05-18,4881,7,,
29291,Lively,24,Development,2014-04-11,4871,7,,
29299,Quintessa,42,Development,2014-03-05,4861,7,,
29307,Matilda,44,Production,2014-01-27,4851,7,,
29315,Gentle,32,Production,2013-12-21,4841,7,,
29323,Eudora,48,Production,2013-11-14,4831,7,,
29331,Trista,59,Customer Service,2013-10-08,4821,7,,
29339,Kay,57,Engineering,2013-06-20,4811,7,,
29347,Philomena,52,Testing,2014-01-21,4801,7,,
29355,Glorious,42,Production,2014-08-24,4791,7,,
29363,Aileen,39,Engineering,2015-03-27,3601,6,,
29371,Rachel,49,Engineering,2015-10-28,2901,5,,
29379,Derek,21,Engineering,2016-05-30,2801,5,,
29387,Kimball,30,Development,2016-12-31,2701,5,,
29395,Ardent,50,Development,2017-08-03,2601,5,,
29403,Flourishing,22,Production,2018-03-06,2501,5,,
29411,Kimball,46,Production,2018-10-07,2401,4,,
29419,Guide,37,Development,2019-05-10,2301,4,,
29427,Edward,24,Development,2019-12-11,2201,4,,
29435,Neal,44,Production,2020-07-13,2101,4,,
29443,Willise,32,Production,2021-02-13,2001,4,,
29451,Montgomery,48,Production,2011-09-16,1901,4,,
29459,Simone,59,Customer Service,2013-11-14,1801,4,,
29467,Eighth,57,Engineering,2013-10-08,1701,4,,
29475,Harmony,52,Testing,2013-06-20,1601,4,,
29483,Lara,42,Production,2014-01-21,8201,9,,
29491,Louisa,39,Engineering,2014-08-24,7201,9,,
29499,Karen,49,Engineering,2015-03-27,5933,8,,
29507,Holly,21,Engineering,2015-10-28,2900,5,,
29515,Renata,30,Development,2016-05-30,1000,3,,
29523,Peaceful,50,Development,2016-12-31,1900,4,,
29531,Meadow,22,Production,2017-08-03,2390,4,,
